"ID_MESA","LAT","LON","cluster"
"100320112980000104","-19.36361","-64.79297",3
"100320112990000101","-19.44641","-64.73968",3
"100320113000000101","-19.58565","-64.68405",3
"100320113030000101","-19.40604","-64.72372",3
"100320113030000102","-19.40604","-64.72372",3
"100320113050000101","-19.30634","-64.3012",1
"100320113050000102","-19.30634","-64.3012",1
"100320113050000103","-19.30634","-64.3012",3
"100320113050000104","-19.30634","-64.3012",3
"100320113050000105","-19.30634","-64.3012",1
"100320113050000106","-19.30634","-64.3012",1
"100320113050000107","-19.30634","-64.3012",1
"100320113050000108","-19.30634","-64.3012",1
"100320113050000109","-19.30634","-64.3012",1
"100320113050000110","-19.30634","-64.3012",1
"100320113050000201","-19.30746","-64.30116",1
"100320113050000202","-19.30746","-64.30116",1
"100320113050000203","-19.30746","-64.30116",1
"100320113050000204","-19.30746","-64.30116",1
"100320113050000205","-19.30746","-64.30116",1
"100320113050000206","-19.30746","-64.30116",1
"100320113050000207","-19.30746","-64.30116",1
"100320113050000208","-19.30746","-64.30116",1
"100320113050000209","-19.30746","-64.30116",1
"100320113050000210","-19.30746","-64.30116",1
"100320113060000101","-19.21987","-64.29996",3
"100320113060000102","-19.21987","-64.29996",3
"100320113070000101","-19.4771","-64.175",3
"100320113070000102","-19.4771","-64.175",1
"100320113080000101","-19.56468","-64.1024",3
"100320113080000102","-19.56468","-64.1024",3
"100320113090000101","-19.33275","-64.14172",3
"100320113090000102","-19.33275","-64.14172",3
"100320113140000101","-19.18713","-64.46201",3
"100320113140000102","-19.18713","-64.46201",3
"100320113140000103","-19.18713","-64.46201",3
"100320113140000104","-19.18713","-64.46201",3
"100320113140000105","-19.18713","-64.46201",3
"100320113140000106","-19.18713","-64.46201",3
"100320113140000107","-19.18713","-64.46201",3
"100320113140000108","-19.18713","-64.46201",3
"100320113150000101","-19.35414","-64.47535",3
"100320113150000102","-19.35414","-64.47535",3
"100320113150000103","-19.35414","-64.47535",3
"100320113180000101","-19.48648","-64.47478",3
"100320113180000102","-19.48648","-64.47478",3
"100320113180000103","-19.48648","-64.47478",3
"100320113180000104","-19.48648","-64.47478",1
"100320113180000201","-19.48693","-64.47521",3
"100320113180000202","-19.48693","-64.47521",3
"100320113180000203","-19.48693","-64.47521",3
"100320113190000101","-19.32515","-64.55762",3
"100320113190000102","-19.32515","-64.55762",3
"100320113240000101","-19.36522","-64.38977",1
"100320113240000102","-19.36522","-64.38977",3
"100320113240000103","-19.36522","-64.38977",1
"100320113240000104","-19.36522","-64.38977",1
"100320113240000105","-19.36522","-64.38977",1
"100320113250000101","-19.5059","-64.33492",3
"100320113250000102","-19.5059","-64.33492",3
"100320113250000103","-19.5059","-64.33492",3
"100320113260000101","-19.6299","-64.31137",3
"100320113260000102","-19.6299","-64.31137",3
"100320113260000103","-19.6299","-64.31137",3
"100320113260000104","-19.6299","-64.31137",3
"100320113310000101","-19.80042","-63.95535",2
"100320113310000102","-19.80042","-63.95535",2
"100320113310000103","-19.80042","-63.95535",2
