RECI,idloc,id_rec,dep,"nomdep",PROV,"nomprov",sec,"nombremunicipio","AsientoElectoral",dist,"nomdist",zona,"nomzona",CIRCUNDIST,"nombrerecinto",Habilitados,Inhabilitados,Depurados,"NombreReci","NombreMuni","AsientoEle",latitud,longitud,density,CANTIDAD DE MESAS,x,y
1,3903,1003201390300001,1,"Chuquisaca",4,"Tomina",3,"Sopachui","Mama Huasi",1,"SIN DISTRITO",1,"SIN ZONA",4,"Unidad Educativa Mama Huasi",201,3,6,"Unidad Educativa Mama Huasi","Sopachui","Mama Huasi",-19.33403,-64.62706,4.686643908978294,1,2155.8,844.3068785677715
25399,4068,1003205406825399,5,"Potosí",15,"Modesto Omiste",1,"Villazón","Chosconti",0,"SIN DISTRITO",0,"SIN ZONA",37,"Col. Mariscal Andres De Santa Cruz",160,1,5,"Col. Mariscal Andres De Santa Cruz","Villazón","Chosconti",-21.95881,-65.485591,6.594214453181954,1,1748.86,472.2164717356568
13014,2334,1003207233413014,7,"Santa Cruz",5,"Chiquitos",3,"Roboré","Roboré",0,"SIN DISTRITO",1,"ROBORE",54,"Esc. Don Bosco",2300,17,97,"Esc. Don Bosco","Roboré","Roboré",-18.33508,-59.75139,61.73814409256433,10,3287.72,1516.2976471587745
1,3554,1003207355400001,7,"Santa Cruz",5,"Chiquitos",1,"San José","Nuevo Horizonte",1,"NUEVO HORIZONTE",1,"NUEVO HORIZONTE",54,"Esc. Nuevo Horizonte",103,0,1,"Esc. Nuevo Horizonte","San José","Nuevo Horizonte",-17.43794,-60.73072,0.6557746884370106,1,3255.53,1907.6303199996507
18023,2697,1003207269718023,7,"Santa Cruz",4,"Ichilo",3,"Yapacaní","Puerto Grether",0,"SIN DISTRITO",1,"PUERTO GRETHER",57,"Esc. U.E. German Busch (P. Grether)",376,4,22,"Esc. U.E. German Busch (P. Grether)","Yapacaní","Puerto Grether",-17.184564,-64.35185,14.602549948991733,2,2207.16,2261.880995479208
427,1828,1003205182800427,5,"Potosí",14,"Daniel Campos",1,"Llica","Cahuana",0,"SIN DISTRITO",0,"SIN ZONA",36,"U.E. Bernabe Ledezma",75,2,11,"U.E. Bernabe Ledezma","Llica","Cahuana",-19.998213,-68.300915,1.4057219241254368,1,1009.86,810.2938923936237
2012,830,1003203083002012,3,"Cochabamba",2,"Campero",2,"Pasorapa","Pasorapa",0,"SIN DISTRITO",0,"SIN ZONA",25,"Colegio Tte.Cnel. Nataniel Verduguez",889,6,89,"Colegio Tte.Cnel. Nataniel Verduguez","Pasorapa","Pasorapa",-18.3163,-64.676,5.663699785761745,5,2059.48,1282.2869400002114
25779,146,1003202014625779,2,"La Paz",3,"Pacajes",1,"Corocoro","Jancko Marca Sirpa",0,"SIN DISTRITO",0,"SIN ZONA",19,"U.E Janko Marca Sirpa",234,0,41,"U.E Janko Marca Sirpa","Corocoro","Jancko Marca Sirpa",-17.140762,-68.647418,4.12455864186313,2,644.227,1315.6097422336102
9053,959,1003203095909053,3,"Cochabamba",9,"Quillacollo",4,"Vinto","Vinto",0,"SIN DISTRITO",0,"SIN ZONA",27,"Escuela Melchor Cuadros",10348,44,635,"Escuela Melchor Cuadros","Vinto","Vinto",-17.3958,-66.3169,944.88633971923,46,1417.86,1615.6224139934811
25495,4087,1003207408725495,7,"Santa Cruz",7,"Cordillera",5,"Gutiérrez","Comunidad Rancho Nuevo",0,"SIN DISTRITO",0,"SIN ZONA",56,"U.E. Isidro Chandey",265,0,2,"U.E. Isidro Chandey","Gutiérrez","Comunidad Rancho Nuevo",-19.838101,-63.429442,6.2331171577296685,2,2497.68,772.0751763999411
25790,566,1003202056625790,2,"La Paz",13,"Aroma",2,"Umala","Puerto Huari Belén",0,"SIN DISTRITO",0,"SIN ZONA",18,"U.E. Huari Belen ´B´",481,2,66,"U.E. Huari Belen ´B´","Umala","Puerto Huari Belén",-17.463459,-68.008048,7.533760599391229,3,978.519,1146.7692405898713
1,2610,1003208261000001,8,"Beni",5,"Moxos",1,"San Ignacio","Puerto San Lorenzo de Moxos",0,"SIN DISTRITO",0,"SIN ZONA",6,"Esc. Pto. San Lorenzo",123,1,1,"Esc. Pto. San Lorenzo","San Ignacio","Puerto San Lorenzo de Moxos",-15.77166,-65.4773,0.7866921964875883,1,2075.55,2741.8229000001784
1,3752,1003206375200001,6,"Tarija",2,"Arce",1,"Padcaya","Abra de San Miguel",1,"SIN DISTRITO",1,"SIN ZONA",42,"U.E. Abra de San Miguel",251,0,11,"U.E. Abra de San Miguel","Padcaya","Abra de San Miguel",-21.90239,-64.80976,15.757288583733759,2,1984.27,425.4622378160601
25395,4064,1003205406425395,5,"Potosí",8,"Sud Chichas",1,"Tupiza","Tomatas",0,"SIN DISTRITO",0,"SIN ZONA",37,"U.E. Tomatas",153,0,2,"U.E. Tomatas","Tupiza","Tomatas",-21.55275,-65.63702,14.49032977670627,1,1690.65,533.636060349631
513,2794,1003201279400513,1,"Chuquisaca",1,"Oropeza",1,"Sucre","Sucre",1,"DISTRITO 1",2,"ZONA 2",1,"Kinder Serrano",720,3,37,"Kinder Serrano","Sucre","Sucre",-19.04423,-65.24963,1208.5539374662421,4,2004.55,937.916805573319
