latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-23.5,-46.75,147,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escuela Estadual Prof. Colombo De Almeida","Rua Graciano Altierio, 114 - Casa Verde, São Paulo - SP, 02545-060, Brasil",19,4297,-23.5505199,-46.6333094,0,4297,"Escuela Estadual Prof. Colombo De Almeida",19,"Sao Paulo",1103418361925078,17.2912,692.827,230.87910533563078
-23.5,-46.5,71,"Brasil","Sao Paulo","Sao Paulo","Guarulhos","Guarulhos","Centro da Integraçäo da Cidadania","Estrada do Capäo Bonito, 53",5,1137,-23.4681516,-46.524713,0,1137,"Centro da Integraçäo da Cidadania",5,"Guarulhos",1103418415126122,51.0832,706.505,234.39830487867604
-23.5,-46.5,82,"Brasil","Sao Paulo","Sao Paulo","Mauá","Mauá","Escola Estadual Walter Belian","R. São Sérgio, 33 - Jardim Santa Adelia, São Paulo - SP, 03972-000, Brasil",7,1636,-23.6130138,-46.4825089,0,1636,"Escola Estadual Walter Belian",7,"Mauá",1103418415525083,51.0832,740.514,204.36215915639264
-23.5,-46.5,118,"Brasil","Sao Paulo","Sao Paulo","Guarulhos","Guarulhos","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","Rua Conceiçäo da Barra, 194 Barrio Jardin Santa Ines",13,2917,-23.429274,-46.504781,0,2917,"Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias",13,"Guarulhos",1103418415126121,51.0832,705.07,239.36092680855478
-23.5,-46.5,128,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escuela Estadual Orestes Guimarães","Rua Canindé, 153 - Canindé, São Paulo - SP, 03053-000,
Brasil",14,3104,-23.5332439,-46.6240453,0,3104,"Escuela Estadual Orestes Guimarães",14,"Sao Paulo",1103418361925205,51.0832,692.183,232.94828702328599
-23.5,-46.5,142,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escola Municipal Ensino Fundamental Analia Franco Bastos","Av. Ariston Azevedo, 20 Belenzinho",15,3554,-23.5275395,-46.5999671,-225,3779,"Escola Municipal Ensino Fundamental Analia Franco Bastos",16,"Sao Paulo",1103418361926123,51.0832,697.303,231.49944112221283
-23.5,-46.5,148,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escuela Estadual Provincia de Nagasaki","R. Dorandia, 158 - Jd Brasil (Zona Norte), São Paulo - SP, 02234-080, Brasil",19,4352,-23.4775916,-46.5717637,0,4352,"Escuela Estadual Provincia de Nagasaki",19,"Sao Paulo",1103418361925200,51.0832,696.058,237.39833367368325
-23.5,-46.5,150,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Inst. Ciencia Tecnologia São Paulo","R. Pedro Vicente, 625 - Canindé, São Paulo - SP, 01109-010, Brasil",22,5070,-23.5238776,-46.622348,0,5070,"Inst. Ciencia Tecnologia  São Paulo",22,"Sao Paulo",1103418361925202,51.0832,691.002,234.41185235254198
-23.5,-46.5,151,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escuela Técnica Estadual Carlos de Campos","R. Monsenhor Andrade, 798 - Brás, São Paulo - SP, 03009-100, Brasil",21,4939,-23.5383059,-46.6216596,-237,5176,"Escuela Técnica Estadual Carlos de Campos",22,"Sao Paulo",1103418361925204,51.0832,693.657,231.82115059003422
-23.5,-46.5,152,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escuela Estadual Eduardo Prado","R. Alm. Barroso, 225 - Brás, São Paulo - SP, 03025-000, Brasil",22,5218,-23.5372312,-46.6126881,-475,5693,"Escuela Estadual Eduardo Prado",24,"Sao Paulo",1103418361925305,51.0832,695.739,231.09498600966373
