ID_RECI,LAT,LON,HAB,INHAB,PAIS,N_MESAS,REC,MUN,BOL,CIU,PROV,DEP,URB,DEN_C,DEN
1003207276204017,-20.261714,-63.150445,142,2,Bolivia,1,Esc. Seccional Itatique,AIOC Charagua Iyambae,True,,Cordillera,Santa Cruz,ruralconect,4.9388908768700002E-2,1.5577313113464744
1003207276304021,-19.440204,-62.567921999999996,551,20,Bolivia,3,Esc. Secc. Rancho Nuevo,AIOC Charagua Iyambae,True,,Cordillera,Santa Cruz,ruralaislado,1.82869411497,10.103568570540068
1003207276414033,-18.905929999999998,-63.398680000000006,2727,59,Bolivia,13,Esc. Pto. Camacho,Cabezas,True,,Cordillera,Santa Cruz,ruralconect,20.826477592900002,26.75042492397762
1003207279704051,-19.764914,-63.56136600000001,752,12,Bolivia,4,Esc. Prof. Delfin Arteaga Ipati,Lagunillas,True,,Cordillera,Santa Cruz,ruralconect,8.6992596751400004,14.616500175802676
1003207285300022,-16.54375,-62.464059999999996,207,3,Bolivia,1,Esc. Santa Rosa De La Mina,San Ramón,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,4.3401165857899997,7.567837389709659
1003207285404053,-19.719167000000002,-63.14168299999999,345,4,Bolivia,2,Esc. Secc. de Kaipepe,AIOC Charagua Iyambae,True,,Cordillera,Santa Cruz,ruralconect,10.3970923033999,12.258368990080816
1003207285514060,-19.988769,-63.139552,183,5,Bolivia,1,Esc. Seccional San F. de Parapeti,AIOC Charagua Iyambae,True,,Cordillera,Santa Cruz,ruralconect,6.1177966346800003,6.355424467786454
1003207285611040,-17.89535,-63.29059,7966,120,Bolivia,37,Escuela Maestro Pitagoras,La Guardia,True,,Andrés Ibáñez,Santa Cruz,metropol,472.55205990199897,579.3534794378196
1003207285611041,-17.880431,-63.284884999999996,5853,80,Bolivia,27,Esc. Central Angel Foianini,La Guardia,True,,Andrés Ibáñez,Santa Cruz,metropol,472.55205990199897,866.6052389546331
1003207285718028,-17.287083,-64.185825,549,10,Bolivia,3,U. E. Santa cruz de la Sierra,Yapacaní,True,,Ichilo,Santa Cruz,ruralconect,22.969989275500001,14.415001460490997
1003207285801028,-17.692729999999997,-63.521552,398,12,Bolivia,2,Esc. Nucleo Central Santa Fe,Porongo,True,,Andrés Ibáñez,Santa Cruz,ruralconect,7.3938025919000001,7.148863696786213
1003207285905013,-17.866789999999998,-64.245937,190,1,Bolivia,1,Esc. Nucleo Santa Rosa,Pampa Grande,True,,Florida,Santa Cruz,ruralconect,1.14364369567,5.162385038957676
1003207286005023,-17.393976000000002,-62.818476000000004,113,2,Bolivia,1,U.E. 24 De Marzo,Okinawa Uno,True,,Warnes,Santa Cruz,ruralconect,12.3114313773,3.849549933720508
1003207286100001,-17.124592,-63.339413,248,5,Bolivia,2,Esc. La Patria,Mineros,True,,Obispo Santistéban,Santa Cruz,periurbano,3.4554306012699998,5.240073025250816
1003207286206040,-17.03029,-63.314780000000006,31,0,Bolivia,1,Esc. Seccional,Fernández Alonso,True,,Obispo Santistéban,Santa Cruz,periurbano,7.3406887258799998,4.546176999942183
1003207286321040,-16.405042,-63.864084999999996,460,8,Bolivia,3,U.E. Profesor Jose Cabrera R.,San Pedro,True,,Obispo Santistéban,Santa Cruz,ruralconect,0.25328156369299998,6.048043547784977
1003207286413017,-18.453039999999998,-59.50294,465,10,Bolivia,3,Esc. Seccional Aguas Calientes,Roboré,True,,Chiquitos,Santa Cruz,ruralconect,2.8187683830300001,4.414900289104506
1003207286504061,-19.833382999999998,-62.730233,174,9,Bolivia,1,Esc. Seccional Isiporenda,AIOC Charagua Iyambae,True,,Cordillera,Santa Cruz,ruralconect,0.455653785857,3.3486596908848707
1003207286604055,-19.489639,-63.673938,331,4,Bolivia,2,U.E. Kereimba,Lagunillas,True,,Cordillera,Santa Cruz,ruralconect,6.3202328182500001,6.133855027383653
1003207286704059,-19.78204,-63.3559,81,0,Bolivia,1,U.E. 21 de Junio,Gutiérrez,True,,Cordillera,Santa Cruz,ruralconect,1.35935942729,3.048129209486581
1003207286804058,-19.6701,-63.37655,352,6,Bolivia,2,Esc. Seccional Capirenda,Gutiérrez,True,,Cordillera,Santa Cruz,ruralconect,11.666120766700001,9.717983737221493
1003207286904056,-19.947464,-63.640232999999995,117,0,Bolivia,1,Esc. Seccional Alto Parapeti,Lagunillas,True,,Cordillera,Santa Cruz,ruralconect,1.11131355281,1.4079608208990466
1003207287004054,-19.367060000000002,-63.36713,261,1,Bolivia,2,Esc. Seccional Itembeguazu,Gutiérrez,True,,Cordillera,Santa Cruz,ruralconect,4.9416924509899998,7.839043035059852
1003207287104057,-19.68275,-63.45378,173,2,Bolivia,1,Esc. Seccional S. Miguel Pocito,Gutiérrez,True,,Cordillera,Santa Cruz,ruralconect,3.45875504834,3.8192001322144105
1003207287218027,-16.600876,-64.067086,291,6,Bolivia,2,U.E. Raul Menacho,San Juan,True,,Ichilo,Santa Cruz,ruralaislado,1.78590522673,3.6228513161042657
