"LAT","LON","ID_RECI","HAB","INHAB","PAIS","N_MESAS","REC","MUN","BOL","CIU","PROV","DEP","URB","DEN_C"
-14.23021,-63.80146,"1003208265800001",582,14,"Bolivia",3,"Esc. El Carmen","Huacaraje",TRUE,NA,"Iténez","Beni","ruralaislado","0.49187495314599999"
-14.60486,-65.63189,"1003208268100001",413,16,"Bolivia",2,"Esc. Wenceslao Añez","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralaislado","1.8764506248699999"
-12.45551,-64.23037,"1003208268200001",289,62,"Bolivia",2,"Esc. Buena Vista","Magdalena",TRUE,NA,"Iténez","Beni","ruralaislado","4.6572406253600001"
-14.94441,-64.65401,"1003208268300001",263,5,"Bolivia",2,"Esc. Somopae","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","5.0916297996099997"
-15.70741,-65.14317,"1003208274700001",200,4,"Bolivia",1,"Esc. San Pablo-Isiboro","Loreto",TRUE,NA,"Marbán","Beni","ruralaislado","0.232463183672"
-14.98918,-64.37089,"1003208274800001",369,8,"Bolivia",2,"Esc. Buen Jesus","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","4.5745486631299999"
-10.92752,-65.96947,"1003208274900001",438,4,"Bolivia",2,"U.E.   Warnes","Riberalta",TRUE,NA,"Vaca Diez","Beni","periurbano","40.498591937500002"
-10.82098,-65.35883,"1003208278400001",1974,105,"Bolivia",9,"U.E.  Lic. Mixto Guayamerin","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.81791,-65.35439,"1003208278400003",2030,139,"Bolivia",10,"U.E.  Evangélico Nacional","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.81322,-65.35567,"1003208278400005",1980,78,"Bolivia",9,"U.E.  Manuel Antonio Ojopi","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.8088,-65.35297,"1003208278400006",889,54,"Bolivia",4,"U.E.  Elmer Botsford","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.81522,-65.34554,"1003208278400007",1710,64,"Bolivia",8,"U.E.  San Jose","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.82544,-65.35355,"1003208278400008",660,25,"Bolivia",3,"U.E.  Mejillones","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.82762,-65.34737,"1003208278400009",2234,59,"Bolivia",11,"U.E.  6 de Junio","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.82369,-65.36181,"1003208278400010",2451,113,"Bolivia",12,"U.E.  Alto de la Alianza","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.83402,-65.3472,"1003208278400011",2527,65,"Bolivia",12,"U.E.   Los Almendros","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
