"ID_RECI","NumPaís","NombrePais","Ciudad","CIU","NumProv","nomprov","NumMuni","nombremunicipio","idloc","AsientoElectoral","NumDist","nomdist","NumZona","nomzona","CIRCUNDIST","RECI","REC","Mesa","HAB","INHAB","RECI_GEO_FID","PAIS","NumDep","DEP","PROV","MUN","Distrito","Zona","nomCircun","TipoCircunscripcion","Recinto","N_MESAS","Habilitados","LAT","LON","URB","DEN_C","BOL"
"1101110413225180",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4132,"Gregorio de Laferrere",1,"Distrito Gregorio de Laferrere",1,"Gregorio de Laferrere",0,25180,"Escuela Primaria Nº 19",1,2994,298,"Exterior: 0048","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Gregorio de Laferrere","Gregorio de Laferrere",NA,NA,"Escuela Primaria Nº 19",14,2994,-34.751061,-58.586994,"exterior","exterior",FALSE
"1101110413225181",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4132,"Gregorio de Laferrere",1,"Distrito Gregorio de Laferrere",1,"Gregorio de Laferrere",0,25181,"Anexo Escuela Secundaria Nº 23",1,1544,642,"Exterior: 0050","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Gregorio de Laferrere","Gregorio de Laferrere",NA,NA,"Anexo Escuela Secundaria Nº 23",7,1544,-34.751391,-58.591982,"exterior","exterior",FALSE
"1101110413325182",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4133,"San Justo",1,"Distrito San Justo",1,"San Justo",0,25182,"Anexo I De Escuela Secundaria Nº11",1,1976,1086,"Exterior: 0051","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito San Justo","San Justo",NA,NA,"Anexo I De Escuela Secundaria Nº11",9,1976,-34.678109,-58.56036,"exterior","exterior",FALSE
"1101110413425183",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4134,"González Catán",1,"Distrito González Catán",1,"González Catán",0,25183,"Escuela Secundaria Nº51",1,1724,155,NA,"Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito González Catán","González Catán",NA,NA,"Escuela Secundaria Nº51",8,1724,-34.76324,-58.631936,"exterior","exterior",FALSE
"1101110413525061",11,"Argentina",10,"Buenos Aires",4,"Esteban Echeverría",1,"Esteban Echeverría",4135,"Nueve de Abril",1,"Distrito Nueve de Abril",1,"Nueve de Abril",0,25061,"Esc. Secundaria Basica Nº4",1,2833,564,NA,"Argentina",10,"Buenos Aires","Esteban Echeverría","Esteban Echeverría","Distrito Nueve de Abril","Nueve de Abril",NA,NA,"Esc. Secundaria Basica Nº4",13,2833,-34.758064,-58.477588,"exterior","exterior",FALSE
"1101110413525185",11,"Argentina",10,"Buenos Aires",4,"Esteban Echeverría",1,"Esteban Echeverría",4135,"Nueve de Abril",1,"Distrito Nueve de Abril",1,"Nueve de Abril",0,25185,"Escuela De Educación Primaria N°16 República Francesa",1,3298,180,NA,"Argentina",10,"Buenos Aires","Esteban Echeverría","Esteban Echeverría","Distrito Nueve de Abril","Nueve de Abril",NA,NA,"Escuela De Educación Primaria N°16 República Francesa",15,3298,-34.739934,-58.488098,"exterior","exterior",FALSE
"1101110413625062",11,"Argentina",10,"Buenos Aires",5,"Lomas de Zamora",1,"Lomas de Zamora",4136,"Ingeniero Budge",1,"Distrito Ingeniero Budge",1,"Ingeniero Budge",0,25062,"Escuela EGB Nro. 12 Primera Junta",1,2293,532,"Exterior: 0057","Argentina",10,"Buenos Aires","Lomas de Zamora","Lomas de Zamora","Distrito Ingeniero Budge","Ingeniero Budge",NA,NA,"Escuela EGB Nro. 12 Primera Junta",11,2293,-34.724898,-58.463062,"exterior","exterior",FALSE
"1101110413725184",11,"Argentina",10,"Buenos Aires",5,"Lomas de Zamora",1,"Lomas de Zamora",4137,"Villa Albertina",1,"Distrito Villa Albertina",1,"Villa Albertina",0,25184,"Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)",1,4069,420,"Exterior: 0059","Argentina",10,"Buenos Aires","Lomas de Zamora","Lomas de Zamora","Distrito Villa Albertina","Villa Albertina",NA,NA,"Extensión de Escuela Secundaria Nº33  (Escuela Secundaria 33)",19,4069,-34.7308,-58.4654,"exterior","exterior",FALSE
"1101110413825063",11,"Argentina",10,"Buenos Aires",6,"Berazategui",1,"Berazategui",4138,"12 de Octubre",1,"Distrito 12 de Octubre",1,"12 de Octubre",0,25063,"Escuela Secundaria Nº6 Juan Domingo Peron",1,2087,621,NA,"Argentina",10,"Buenos Aires","Berazategui","Berazategui","Distrito 12 de Octubre","12 de Octubre",NA,NA,"Escuela Secundaria Nº6 Juan Domingo Peron",10,2087,-34.781476,-58.25909,"exterior","exterior",FALSE
"1101110413925186",11,"Argentina",10,"Buenos Aires",7,"Quilmes",1,"Quilmes",4139,"Ezpeleta",1,"Distrito Ezpeleta",1,"Ezpeleta",0,25186,"Esc Primaria Nro 52 Gral. Bartolome Mitre.",1,2541,641,"Exterior: 0063","Argentina",10,"Buenos Aires","Quilmes","Quilmes","Distrito Ezpeleta","Ezpeleta",NA,NA,"Esc Primaria Nro 52 Gral. Bartolome Mitre.",12,2541,-34.754303,-58.24521,"exterior","exterior",FALSE
"1101110414025064",11,"Argentina",10,"Buenos Aires",8,"La Plata",1,"La Plata",4140,"La Plata",1,"Distrito La Plata",1,"La Plata",0,25064,"Escuela Secundaria Nº34 Almafuerte",1,2400,388,"Exterior: 0065","Argentina",10,"Buenos Aires","La Plata","La Plata","Distrito La Plata","La Plata",NA,NA,"Escuela Secundaria Nº34 Almafuerte",11,2400,-34.920641,-57.945336,"exterior","exterior",FALSE
"1101110414025187",11,"Argentina",10,"Buenos Aires",8,"La Plata",1,"La Plata",4140,"La Plata",1,"Distrito La Plata",1,"La Plata",0,25187,"Escuela Primaria N°5 Cnl. De Marina Tomas Espora",1,1913,321,"Exterior: 0067","Argentina",10,"Buenos Aires","La Plata","La Plata","Distrito La Plata","La Plata",NA,NA,"Escuela Primaria N°5 Cnl. De Marina Tomas Espora",9,1913,-34.900281,-57.956663,"exterior","exterior",FALSE
"1101110414025188",11,"Argentina",10,"Buenos Aires",8,"La Plata",1,"La Plata",4140,"La Plata",1,"Distrito La Plata",1,"La Plata",0,25188,"Escuela Primaria N°102 Dr. Dardo Rocha",1,2269,214,"Exterior: 0069","Argentina",10,"Buenos Aires","La Plata","La Plata","Distrito La Plata","La Plata",NA,NA,"Escuela Primaria N°102 Dr. Dardo Rocha",11,2269,-34.900569,-57.968772,"exterior","exterior",FALSE
