"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"1859","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","3","Mauá","4155","Mauá","25083","Escola Estadual Walter Belian","1","220",4,130,6,2,6,"0","0","0","0","0","0","0","0","148","1","1","150","148","150",0,"110341841552508301"
"1860","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","3","Mauá","4155","Mauá","25083","Escola Estadual Walter Belian","2","220",4,125,2,1,7,"0","0","0","0","0","0","0","0","139","0","3","142","139","142",0,"110341841552508302"
"1861","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","3","Mauá","4155","Mauá","25083","Escola Estadual Walter Belian","3","220",1,128,2,0,9,"0","0","0","0","0","0","0","0","140","0","10","150","140","150",0,"110341841552508303"
"1863","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","3","Mauá","4155","Mauá","25083","Escola Estadual Walter Belian","5","220",11,120,1,1,4,"0","0","0","0","0","0","0","0","137","0","4","141","137","141",0,"110341841552508305"
"1864","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","3","Mauá","4155","Mauá","25083","Escola Estadual Walter Belian","6","79",2,33,1,0,3,"0","0","0","0","0","0","0","0","39","0","2","41","39","41",0,"110341841552508306"
"1885","PRESIDENTE","34","Brasil","78","M.Grosso do Sul","0","0","6","Bajo Pantanal","1","Corumbá","3897","Corumbá","26115","Cyriaco Félix de Toledo","1","210",60,25,7,0,17,"0","0","0","0","0","0","0","0","109","1","20","130","109","130",0,"110347838972611501"
"1889","PRESIDENTE","44","Chile","36","Metropolitana","0","0","1","Santiago","1","Santiago","3779","Santiago","25104","Parroquia Latinoamericana Nuestra Señora De Pompeya","2","220",34,31,2,0,41,"0","0","0","0","0","0","0","0","108","0","5","113","108","113",0,"110443637792510402"
"1890","PRESIDENTE","44","Chile","36","Metropolitana","0","0","1","Santiago","1","Santiago","3779","Santiago","25104","Parroquia Latinoamericana Nuestra Señora De Pompeya","3","220",22,52,1,0,37,"0","0","0","0","0","0","0","0","112","0","3","115","112","115",0,"110443637792510403"
"1900","PRESIDENTE","44","Chile","36","Metropolitana","0","0","1","Santiago","1","Santiago","3779","Santiago","25104","Parroquia Latinoamericana Nuestra Señora De Pompeya","13","220",44,26,3,0,34,"0","0","0","0","0","0","0","0","107","0","2","109","107","109",0,"110443637792510413"
"1901","PRESIDENTE","44","Chile","36","Metropolitana","0","0","1","Santiago","1","Santiago","3779","Santiago","25104","Parroquia Latinoamericana Nuestra Señora De Pompeya","14","220",40,18,2,0,39,"0","0","0","0","0","0","0","0","99","1","11","111","99","111",0,"110443637792510414"
"2037","PRESIDENTE","45","China","70","Beijing","0","0","1","Beijing","1","Beijín","3813","Beijín","25138","Embajada","1","42",0,2,0,0,13,"0","0","0","0","0","0","0","0","15","0","2","17","15","17",0,"110457038132513801"
"2101","PRESIDENTE","63","Egipto","67","El Cairo","0","0","1","El Cairo","1","El Cairo","3810","El Cairo","25135","Embajada","1","12",0,3,0,0,4,"0","0","0","0","0","0","0","0","7","0","0","7","7","7",0,"110636738102513501"
"2132","PRESIDENTE","67","España","15","Madrid","0","0","1","Madrid","1","Madrid","3616","Madrid","25071","Colegio Público República Del Uruguay","1","220",48,31,0,2,42,"0","0","0","0","0","0","0","0","123","0","9","132","123","132",0,"110671536162507101"
