"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"1345","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","3","La Matanza","1","La Matanza","4133","San Justo","25182","Anexo I De Escuela Secundaria Nº11","3","220",0,124,3,1,12,"0","0","0","0","0","0","0","0","140","1","3","144","140","144",0,"110111041332518203"
"1442","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","8","La Plata","1","La Plata","4140","La Plata","25064","Escuela Secundaria Nº34 Almafuerte","3","220",2,105,4,2,7,"0","0","0","0","0","0","0","0","120","0","5","125","120","125",0,"110111041402506403"
"1466","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","8","La Plata","1","La Plata","4140","La Plata","25188","Escuela Primaria N°102 Dr. Dardo Rocha","7","220",2,68,1,3,3,"0","0","0","0","0","0","0","0","77","0","5","82","77","82",0,"110111041402518807"
"1470","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","8","La Plata","1","La Plata","4140","La Plata","25188","Escuela Primaria N°102 Dr. Dardo Rocha","11","69",0,41,0,1,0,"0","0","0","0","0","0","0","0","42","0","0","42","42","42",0,"110111041402518811"
"1479","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","9","Escobar","1","Escobar","4141","Belén de Escobar","25146","Escobar-Esc. Secundaria Basica Nº23","9","220",2,106,1,2,7,"0","0","0","0","0","0","0","0","118","1","4","123","118","123",0,"110111041412514609"
"1612","PRESIDENTE","11","Argentina","21","Cordoba","0","0","5","Capital","1","Cordoba","3762","Cordoba","25154","CPC Villa El Libertador","1","220",3,92,7,2,6,"0","0","0","0","0","0","0","0","110","0","2","112","110","112",0,"110112137622515401"
"1640","PRESIDENTE","11","Argentina","22","Salta","0","0","8","Orán","1","San Ramón de la Nueva Orán","3765","San Ramón de la Nueva Orán","25090","Escuela De Comercio Julio Cortez Nº 5091","3","220",2,40,4,8,8,"0","0","0","0","0","0","0","0","62","3","3","68","62","68",0,"110112237652509003"
"1641","PRESIDENTE","11","Argentina","22","Salta","0","0","8","Orán","1","San Ramón de la Nueva Orán","3765","San Ramón de la Nueva Orán","25090","Escuela De Comercio Julio Cortez Nº 5091","4","220",0,44,2,5,7,"0","0","0","0","0","0","0","0","58","3","11","72","58","72",0,"110112237652509004"
"1642","PRESIDENTE","11","Argentina","22","Salta","0","0","8","Orán","1","San Ramón de la Nueva Orán","3765","San Ramón de la Nueva Orán","25090","Escuela De Comercio Julio Cortez Nº 5091","5","136",0,16,2,6,3,"0","0","0","0","0","0","0","0","27","2","4","33","27","33",0,"110112237652509005"
"1650","PRESIDENTE","11","Argentina","85","Chubut","0","0","8","Escalante","1","Comodoro Rivadavia","4073","Comodoro Rivadavia","25303","Centro Cultural de Comodoro Rivadavia","3","220",1,101,1,1,2,"0","0","0","0","0","0","0","0","106","0","5","111","106","111",0,"110118540732530303"
"1662","PRESIDENTE","11","Argentina","87","Corrientes","0","0","1","Lavalle","1","Santa Lucía","4375","Santa Lucía","26087","Centro Integrador Comunitario de la Municipalidad de Santa Lucia (CIC)","1","220",1,110,4,2,8,"0","0","0","0","0","0","0","0","130","1","7","138","130","138",5,"110118743752608701"
