"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
1232,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",14,220,2,133,4,2,11,152,0,7,159,152,159,0,"110111036112519114"
1233,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",15,142,2,84,0,0,10,96,0,4,100,96,100,0,"110111036112519115"
1235,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",2,220,4,90,0,0,7,101,1,5,107,101,107,0,"110111041292519202"
1236,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",3,220,2,112,3,2,12,131,0,1,132,131,132,0,"110111041292519203"
1237,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",4,220,6,106,2,4,14,132,0,5,137,132,137,0,"110111041292519204"
1239,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",6,220,2,119,1,2,5,129,1,3,133,129,133,0,"110111041292519206"
1240,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",7,220,3,104,1,2,8,118,0,6,124,118,124,0,"110111041292519207"
1241,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",8,220,6,109,0,1,8,124,1,5,130,124,130,0,"110111041292519208"
1242,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",9,220,4,88,0,0,7,99,0,5,104,99,104,0,"110111041292519209"
1243,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",10,220,0,99,5,1,12,117,1,0,118,117,118,0,"110111041292519210"
